,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,Source,unique_id,xbva,Action Plan,Product #,LAC Lead,Output #,Work Plan,Meeting Notes,Catalogue of Mission Products,Mission Lead,Notes/Comments/Changes Needed,COVID-19 Updates,Task,"COR Approval 
Y/N",complete,ERP,MI2-Wide Tracker,MI2 BVA,Funding Source,MI2-Wide Tracker_x,Focal Area
99,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,"Scope and implement learning activities and products (e.g., webinars, case studies and/or success stories, learning events)",TBD,,,No,TBD,,,,,0-24%,,"Will scope learning activities and products for FY21 in Q4, as part of work planning process",cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.M,TBD,,,,,,,,,,12.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
100,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,"Draft four high-level theories of change for priority strategic approaches (Reduce Demand, Develop Traceability Systems, Build Law Enforcement Capacity, Transparency/Corruption) and identify links to private sector engagement for each approach",Process,,Caroline,No,Jenny with Judy,,Draft CCC inventory,Production,7.0,25-34%,Jul,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.A,Share with Christy/Ben for feedback and input,,,,,,,,,,29.5,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
101,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,"Map other learning agenda activities and learning questions (consider mission CLA and PAD MEL plans, regional plans, and SL learning questions)",Process,,,No,Jenny with Judy,,,Production,2.0,96-99%,Feb,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.B,,,,,,,,,,,97.0,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
102,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,Develop webinars with Missions to disseminate/share information and get their input; incorporate feedback,Product,,,No,Jenny with Judy,,,Production,9.0,0-24%,,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.C,Discuss w Christy and Ben on ideas for best way to do this,,,,,,,,,,12.0,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
103,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,"Develop Conservation Crime Learning Agenda through periodic review, input and feedback from mission staff",Product,Scoping + Transmission + Dissemination Plans,Linda,Yes,Jenny,,,,7.0,0-24%,Jul,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.D,Share with Christy/Ben for review and approval,,,,,,,,,,12.0,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
104,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,Organize/Facilitate LAC Learning session at LAC Environment Officers Meeting; Share Learning Agenda with missions and get their input/feedback,TBD,Scoping Sheet,Caroline,No,Jenny,,,,5.0,0-24%,Jun,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.E,Organize and facilitate with CJ/BS input,,,,,,,,,,12.0,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
105,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,,"Scope and implement learning activities and/or products (e.g., webinars, case studies and/or success stories, learning events)",TBD,,,No,TBD,,,,,,,,cross_mission_products,Product #,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,LAC FY20 Work Plan and Budget,2.4.2.F,TBD,,,,,,,,,,,,2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
106,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,,"Complete revisions, produce, and disseminate a two-page executive summary of a bushmeat report developed in 2019 by a different USAID consultant.",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,"Kathleen, Caroline","Natalie Bailey
",Google Folder,Scoping,8.0,0-24%,Sep,,cross_mission_products,Product #,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,FY20 Cross-Mission Learning Tracking Table,2.6.1.A,,,,,,,,,,,12.0,Bushmeat,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,MI2 Bushmeat,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
107,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,,"Following the model of and process used to develop the Fisheries Briefing Book, facilitate a process to identify key USAID sectors’ learning or evidence questions related to bushmeat reduction. To support or inspire people to take up or fund work on this issue, identify one or two champions and/or develop and distribute one or two case studies to lift up and promote bushmeat reduction awareness through mission outreach efforts.",Process,,,No,"Kathleen, Caroline","Natalie Bailey
",,,6.0,0-24%,Sep,,cross_mission_products,Product #,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,FY20 Cross-Mission Learning Tracking Table,2.6.1.B,,,,,,,,,,,12.0,Bushmeat,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,MI2 Bushmeat,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
108,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,,"A draft learning group scoping sheet to define (1) the nature of the learning group, including purpose and target audience and modalities and expectations for learning group management in FY21 and beyond",Product,Scoping Sheet,Kathleen,No,"Kathleen, Caroline","Natalie Bailey
",,Scoping,8.0,0-24%,Sep,,cross_mission_products,Product #,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,FY20 Cross-Mission Learning Tracking Table,2.6.1.C,,,,,,,,,,,12.0,Bushmeat,2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,MI2 Bushmeat,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
109,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.5 CROSS-MISSION LEARNING COORDINATION AND MANAGEMENT,,Activity manager meetings,,,,,Caroline,Megan,Meeting notes,,,,,,cross_mission_products,Product #,2.5 CROSS-MISSION LEARNING COORDINATION AND MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.5.1.A,,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
110,"June: Surveys sent out and analyzing results to decide on next steps for results chains and focus of learning agenda. Scoping learning questions based on results and planning for KII follow up discussions. (SG 6/22/20). Currently exploring possibility of using follow up interviews to pilot the annexes from the TWP Supplemental Guide as survey results indicate corruption, law enforcement, and violence against environmental defenders as key themes/ knowledge gaps. Question trees in Annexes could help AORs/CORs further specify relationships between these factors, and knowledge gaps. (JB 6/30)",2.5 CROSS-MISSION LEARNING COORDINATION AND MANAGEMENT,,Updating standard operating procedures for cross mission learning,,,,,Lexine,Megan,Draft,,,,,,cross_mission_products,Product #,2.5 CROSS-MISSION LEARNING COORDINATION AND MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.5.1.B,,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
111,"No TA expected in FY20, potential design work in FY21 including staff transitions. (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Brazil,,,,,,Marcia,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Brazil,,,,LAC_Brazil,Brazil Work Plan,SBU Brazil Notes,Brazil Catalogue Folder,Anna Toness,"- First virtual meeting with mission planned for 1-11-19 @ 11:00am
- Need to confirm dates of workshop for social impact fund and MI participation",,,,,,Brazil,"MI2 LAC Brazil TA
",Buy-In,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
112,"No TA expected in FY20, potential design work in FY21 including staff transitions. (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Brazil,,,,,,Marcia,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Brazil,,,,LAC_Brazil,Brazil Work Plan,SBU Brazil Notes,Brazil Catalogue Folder,Anna Toness,"- First virtual meeting with mission planned for 1-11-19 @ 11:00am
- Need to confirm dates of workshop for social impact fund and MI participation",,,,,,Brazil,"MI2 LAC Brazil TA
",Buy-In,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
113,"All Central America (northern triangle) country work on hold until further notice from LAC (as of April 13, 2019), funding potentially coming back online, but TA TBD (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,CAM,,,,,,Marcia,Jenny Kane,,,,,,,field_support_units,Operating Unit,CAM,,,,,CAM Work Plan,Pending first MI2 meeting,CAM Catalogue Folder,Luis Ramos,,,,,,,CAM,IGNORE,Buy-In,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
114,"All Central America (northern triangle) country work on hold until further notice from LAC (as of April 13, 2019), funding potentially coming back online, but TA TBD (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,CAM,,,,,,Marcia,Jenny Kane,,,,,,,field_support_units,Operating Unit,CAM,,,,,CAM Work Plan,Pending first MI2 meeting,CAM Catalogue Folder,Luis Ramos,,,,,,,CAM,IGNORE,Buy-In,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
115,"Four virtual activity design sessions were completed on May, June and early July. The CBP activity design team and MI2 are currently scoping a process to complete systems mapping as an additional input to the design process (KS 7/9)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Caribbean,,,,,,Kelsey,Jenny Kane,,,,,,,field_support_units,Operating Unit,Caribbean,,,,CDP_BI,Caribbean Work Plan,SBU Caribbean Notes,Caribbean Catalogue Folder,Karen Pannocchia,,USAID/DR staff teleworking. Mission POC returned to US. FAB POC working reduced schedule; however Megan is backstopping,,,,,Caribbean,BI-CDP,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
116,"Four virtual activity design sessions were completed on May, June and early July. The CBP activity design team and MI2 are currently scoping a process to complete systems mapping as an additional input to the design process (KS 7/9)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Caribbean,,,,,,Kelsey,Jenny Kane,,,,,,,field_support_units,Operating Unit,Caribbean,,,,CDP_BI,Caribbean Work Plan,SBU Caribbean Notes,Caribbean Catalogue Folder,Karen Pannocchia,,USAID/DR staff teleworking. Mission POC returned to US. FAB POC working reduced schedule; however Megan is backstopping,,,,,Caribbean,BI-CDP,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
117,"
Evaluation: Team is finalizing the evaluation report based on mission feedback. MI2 is also talking with the Mission about their priorities for the remainder of the buy-in LOE (GU 6/10/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Colombia,,,,,,Geeta,Megan Hill,,,,,,,field_support_units,Operating Unit,Colombia,,,,COL_BI,Colombia Work Plan,SBU Colombia Notes,Colombia Catalogue Folder,Danielle Tedesco,"- Megan developed MI2 SOW based on co-creation conversations - was it shared with mission: 
- MI developed draft technical response - pending feedback from Missions
- recuitment  underway for field position 
- anticipated start work on x date ???",Voluntary evacuation (Some families are departing post for specific circumstances). Most staff are teleworking and some essential staff are still at the Mission. Mission staff are set up for remote work and have connections. New POC is working remotely from DC.,,,,,Colombia,BI-COL,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
118,"
Evaluation: Team is finalizing the evaluation report based on mission feedback. MI2 is also talking with the Mission about their priorities for the remainder of the buy-in LOE (GU 6/10/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Colombia,,,,,,Geeta,Megan Hill,,,,,,,field_support_units,Operating Unit,Colombia,,,,COL_BI,Colombia Work Plan,SBU Colombia Notes,Colombia Catalogue Folder,Danielle Tedesco,"- Megan developed MI2 SOW based on co-creation conversations - was it shared with mission: 
- MI developed draft technical response - pending feedback from Missions
- recuitment  underway for field position 
- anticipated start work on x date ???",Voluntary evacuation (Some families are departing post for specific circumstances). Most staff are teleworking and some essential staff are still at the Mission. Mission staff are set up for remote work and have connections. New POC is working remotely from DC.,,,,,Colombia,BI-COL,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
119,"Work on hold per USAID Guidance as of April 13, 2019, funding may be opening back up but TA still TBD (Sara 7/2/20).",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Guatemala,,,,,,Marcia,Megan Hill,,,,,,,field_support_units,Operating Unit,Guatemala,,,,LAC_Guatemala,Guatemala Work Plan,Guatemala Notes,Guatemala Catalogue Folder,Annie Wallace,"- GBP PaR workshop confirmed for Feb 11-15th
- Olaf and Annie on furlough. Team Planning call  rescheduled - tentative for Friday 1-9-19 
- Marcia is out next week - need to decide who from MI will step in and ensure progress and continuity",,,,,,Guatemala,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
120,"Work on hold per USAID Guidance as of April 13, 2019, funding may be opening back up but TA still TBD (Sara 7/2/20).",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Guatemala,,,,,,Marcia,Megan Hill,,,,,,,field_support_units,Operating Unit,Guatemala,,,,LAC_Guatemala,Guatemala Work Plan,Guatemala Notes,Guatemala Catalogue Folder,Annie Wallace,"- GBP PaR workshop confirmed for Feb 11-15th
- Olaf and Annie on furlough. Team Planning call  rescheduled - tentative for Friday 1-9-19 
- Marcia is out next week - need to decide who from MI will step in and ensure progress and continuity",,,,,,Guatemala,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
121,Waiting on feedback from the Mission and LAC on next steps for remaining LOE in the buy-in (SG 7/2/20),WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Mexico,,,,,,Geeta,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Mexico,,,,MEX_BI,Mexico Work Plan,SBU Mexico Notes,Mexico Catalogue Folder,Karla Toledo,"- Confirm MI availabilty and staffing plan for Q2 (Tess P. and Lexine H.)
- Schedule scoping call between LAC B, Mexico and MI2
- Confirm dates for Feb/March TA and prep work  ",Mission POC still at post. LAC POC working regular schedule.,,,,,Mexico,BI-MEX,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
122,Waiting on feedback from the Mission and LAC on next steps for remaining LOE in the buy-in (SG 7/2/20),WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Mexico,,,,,,Geeta,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Mexico,,,,MEX_BI,Mexico Work Plan,SBU Mexico Notes,Mexico Catalogue Folder,Karla Toledo,"- Confirm MI availabilty and staffing plan for Q2 (Tess P. and Lexine H.)
- Schedule scoping call between LAC B, Mexico and MI2
- Confirm dates for Feb/March TA and prep work  ",Mission POC still at post. LAC POC working regular schedule.,,,,,Mexico,BI-MEX,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
123,"Per LAC and the Mission's request, MI2/Guillermo is supporting WWF in refining their life of agreement work plan and MEL plan. LAC requested additional support to help WWF define what they would like to measure and why, develop SMART indicators, establishing a baseline so that phase 2 is better able to measure progress, identify key early milestones that allow WWF to communicate how they are contributing toward the bigger goals of reducing deforestation/GHG emissions; and supporting a pause and reflect session for partners that will allow them to understand which approaches are working and which are not, and make adjustments as needed. LAC is confirimng this support with the Mission. (SG 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Paraguay,,,,,,Guillermo,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Paraguay,,,,LAC_Paraguay,Paraguay Work Plan,FCAA Meeting Notes,Paraguay Catalogue Folder,Shirley Zavala,"- Planning call with mission confirmed for 1-8-11 @ noon
- workshop dates confirmed for week of Feb 18th
- MI2 is hiring CCNET coach - Paola Mejia to support prep and delivery of workshop
- MI will start desk review of documents to develop strawman situation model and theory of change (urgently need access to documents)
-MI setting up google site to organize resources and coordinate with partners 
",Mission POC still at post. LAC POC working regular schedule.,,,,,Paraguay,MI2 LAC Paraguay TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
124,"Per LAC and the Mission's request, MI2/Guillermo is supporting WWF in refining their life of agreement work plan and MEL plan. LAC requested additional support to help WWF define what they would like to measure and why, develop SMART indicators, establishing a baseline so that phase 2 is better able to measure progress, identify key early milestones that allow WWF to communicate how they are contributing toward the bigger goals of reducing deforestation/GHG emissions; and supporting a pause and reflect session for partners that will allow them to understand which approaches are working and which are not, and make adjustments as needed. LAC is confirimng this support with the Mission. (SG 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Paraguay,,,,,,Guillermo,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Paraguay,,,,LAC_Paraguay,Paraguay Work Plan,FCAA Meeting Notes,Paraguay Catalogue Folder,Shirley Zavala,"- Planning call with mission confirmed for 1-8-11 @ noon
- workshop dates confirmed for week of Feb 18th
- MI2 is hiring CCNET coach - Paola Mejia to support prep and delivery of workshop
- MI will start desk review of documents to develop strawman situation model and theory of change (urgently need access to documents)
-MI setting up google site to organize resources and coordinate with partners 
",Mission POC still at post. LAC POC working regular schedule.,,,,,Paraguay,MI2 LAC Paraguay TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
125,"Progress continues to be made under Task 4. Analysis of aligment between Project and Activity level MEL Plans is almost complete and ready for USAID feedback on a path forward. We continue to work with the learning team to coordinate efforts. Planning and coordination with USAID is underway for the upcoming ProBosques, NIWS, FOREST, Alianza Forestal, and Conflict Fisheries pause and reflect workshop (SG 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Peru,,,,,,Armando,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Peru,,,,PERU_BI,Peru Work Plan,Peru Notes,Peru Catalogue Folder,Gina Cady,,Teleworking and shelter in place until further notice. State of emergency through April 26th (probably longer). FAB/LAC POCs working as normal.,,,,,Peru,BI-PERU,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
126,"Progress continues to be made under Task 4. Analysis of aligment between Project and Activity level MEL Plans is almost complete and ready for USAID feedback on a path forward. We continue to work with the learning team to coordinate efforts. Planning and coordination with USAID is underway for the upcoming ProBosques, NIWS, FOREST, Alianza Forestal, and Conflict Fisheries pause and reflect workshop (SG 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Peru,,,,,,Armando,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Peru,,,,PERU_BI,Peru Work Plan,Peru Notes,Peru Catalogue Folder,Gina Cady,,Teleworking and shelter in place until further notice. State of emergency through April 26th (probably longer). FAB/LAC POCs working as normal.,,,,,Peru,BI-PERU,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
127,"Progress continues to be made under Task 4, aligment between Project and Activity level MEL Plans is complete and MI2 is now gathering feedback from USAID on how to proceed. We continue to work with the learning team to coordinate efforts. For task 6, the Amazon Vision report, annual reports and PPRs are being gathered from the missions for input data. The SERVIR PaR workshop was supported earlier this month and planning and coordination with USAID continues for the upcoming SCIOA pause and reflect workshop (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,SAR,,,,,,Marcia/ Judy,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,SAR,,,,AREP_BI,SAR Work Plan,SBU SAR Notes,SAR Catalogue Folder,Ani Zamgochian,,Teleworking and shelter in place until further notice. State of emergency through April 26th (probably longer). Mission POC sheltering in place. Deputy Office Chief for SAR returned to the states. FAB/LAC POCs working as normal.,,,,,SAR,BI-SAR,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
128,"Progress continues to be made under Task 4, aligment between Project and Activity level MEL Plans is complete and MI2 is now gathering feedback from USAID on how to proceed. We continue to work with the learning team to coordinate efforts. For task 6, the Amazon Vision report, annual reports and PPRs are being gathered from the missions for input data. The SERVIR PaR workshop was supported earlier this month and planning and coordination with USAID continues for the upcoming SCIOA pause and reflect workshop (Sara 7/2/20)",WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,SAR,,,,,,Marcia/ Judy,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,SAR,,,,AREP_BI,SAR Work Plan,SBU SAR Notes,SAR Catalogue Folder,Ani Zamgochian,,Teleworking and shelter in place until further notice. State of emergency through April 26th (probably longer). Mission POC sheltering in place. Deputy Office Chief for SAR returned to the states. FAB/LAC POCs working as normal.,,,,,SAR,BI-SAR,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
